Версия;AIDA64 v8.25.8200
Тип ЦП;4C+4c Intel Core i5-12450H, 4000 MHz (40 x 100)
Системная плата;Honor BRN-FXXC
Видеоадаптер;Intel Alder Lake-P GT1 - Integrated Graphics Controller
Отчёт начат;12.04.2026 18:53:38

Частота ядра ЦП 4;ЦП4;Ядро ЦП 4
MHz;%;°C
1995;38;37
1995;53;39
1895;38;35
1995;100;39
1995;100;39
1995;100;39
1995;100;37
1995;100;40
1995;100;35
1995;100;36
1995;100;35
1995;100;37
1995;100;36
1995;100;40
1995;100;38
1996;100;38
1995;100;37
1995;100;39
1995;100;36
1995;100;37
1995;100;36
1995;100;38
1995;100;39
1995;100;35
1995;100;36
1995;100;35
1995;100;38
1995;100;37
1995;100;37
1895;100;37
1995;100;35
1995;100;37
1995;100;37
1995;100;37
1995;100;35
1995;100;35
1995;100;38
1995;100;37
1995;100;40
1995;100;35
1995;100;36
1995;100;37
1995;100;36
1995;100;37
1995;100;36
1995;100;35
1995;100;36
1995;100;37
1995;100;36
1995;100;37
1995;100;37
1995;100;36
1995;100;37
1995;100;37
1995;100;36
1995;100;39
1995;100;35
1995;100;36
1995;100;35
1995;100;36
1995;100;36
1995;100;37
1995;100;36
1995;100;35
1995;100;37
1995;100;39
1995;100;36
1995;100;35
1995;100;37
1995;100;39
1995;100;35
1995;100;37
1995;100;35
1995;100;37
1995;100;37
1995;100;39
1995;100;35
1995;100;39
1995;100;40
1995;100;36
1995;100;39
1696;100;37
1995;100;37
1995;100;37
1995;100;36
1995;100;37
1995;100;37
1995;100;37
1996;100;35
1995;100;37
1596;100;37
1995;100;37
1995;100;36
1995;100;35
1995;100;39
1895;100;37
1995;100;36
1995;100;35
1995;100;38
1995;100;35
1995;100;35
1995;100;36
1995;100;37
1995;100;37
1995;100;36
1995;100;37
1995;100;36
1995;100;37
1995;100;35
1995;100;37
1995;100;37
1995;100;37
1995;100;37
1995;100;36
1995;100;36
1995;100;35
1995;100;36
1995;99;39
1995;100;35
1995;100;37
1995;100;37
1995;100;37
1995;100;36
1995;100;36
1995;100;40
1995;100;35
1995;100;35
1995;100;39
1995;100;35
1995;100;35
1995;100;39
